"Category","File","Line","Attribute","Literal","Snippet"
"C# MessageBox Dialog","E:\Users\kaoti\Documentos\GitHub\ArchiveProceser\FileFlow.App\ViewModels\ControlBarViewModel.cs","228","MessageBox","MessageBox.Show(""No se encontraron carpetas de origen existentes configuradas en los nodos del flujo (ej. FolderSourceNode).\nConfigure una carpeta de entrada antes de activar el Modo Vigilante."", ""Modo Vigilante"", MessageBoxButton.OK, MessageBoxImage.Information);","MessageBox.Show(""No se encontraron carpetas de origen existentes configuradas en los nodos del flujo (ej. FolderSourceNode).\nConfigure una carpeta de entrada antes de activar el Modo Vigilante."", ""Modo Vigilante"", MessageBoxButton.OK, MessageBoxImage.Information);"
"C# MessageBox Dialog","E:\Users\kaoti\Documentos\GitHub\ArchiveProceser\FileFlow.App\ViewModels\ControlBarViewModel.cs","294","MessageBox","MessageBox.Show($""Error al ejecutar el flujo: {result.ErrorMessage}"", ""Error de EjecuciÃ³n"", MessageBoxButton.OK, MessageBoxImage.Error);","MessageBox.Show($""Error al ejecutar el flujo: {result.ErrorMessage}"", ""Error de EjecuciÃ³n"", MessageBoxButton.OK, MessageBoxImage.Error);"
"C# MessageBox Dialog","E:\Users\kaoti\Documentos\GitHub\ArchiveProceser\FileFlow.App\ViewModels\ControlBarViewModel.cs","339","MessageBox","MessageBox.Show(""No hay operaciones registradas para revertir."", ""Deshacer Flujo"", MessageBoxButton.OK, MessageBoxImage.Information);","MessageBox.Show(""No hay operaciones registradas para revertir."", ""Deshacer Flujo"", MessageBoxButton.OK, MessageBoxImage.Information);"
"C# MessageBox Dialog","E:\Users\kaoti\Documentos\GitHub\ArchiveProceser\FileFlow.App\ViewModels\ControlBarViewModel.cs","343","MessageBox","var result = MessageBox.Show($""Â¿Deseas revertir {_lastJournalService.Entries.Count} operaciones realizadas en la Ãºltima ejecuciÃ³n?"", ""Confirmar Deshacer (Rollback)"", MessageBoxButton.YesNo, MessageBoxImage.Question);","var result = MessageBox.Show($""Â¿Deseas revertir {_lastJournalService.Entries.Count} operaciones realizadas en la Ãºltima ejecuciÃ³n?"", ""Confirmar Deshacer (Rollback)"", MessageBoxButton.YesNo, MessageBoxImage.Question);"
"C# MessageBox Dialog","E:\Users\kaoti\Documentos\GitHub\ArchiveProceser\FileFlow.App\ViewModels\ControlBarViewModel.cs","349","MessageBox","MessageBox.Show($""Se han revertido {undone} operaciones con Ã©xito."", ""Rollback Completado"", MessageBoxButton.OK, MessageBoxImage.Information);","MessageBox.Show($""Se han revertido {undone} operaciones con Ã©xito."", ""Rollback Completado"", MessageBoxButton.OK, MessageBoxImage.Information);"
"C# MessageBox Dialog","E:\Users\kaoti\Documentos\GitHub\ArchiveProceser\FileFlow.App\ViewModels\ControlBarViewModel.cs","435","MessageBox","var result = MessageBox.Show(""Â¿Deseas crear un nuevo flujo? Se limpiarÃ¡ el lienzo actual."", ""Nuevo Flujo"", MessageBoxButton.YesNo, MessageBoxImage.Question);","var result = MessageBox.Show(""Â¿Deseas crear un nuevo flujo? Se limpiarÃ¡ el lienzo actual."", ""Nuevo Flujo"", MessageBoxButton.YesNo, MessageBoxImage.Question);"
"C# MessageBox Dialog","E:\Users\kaoti\Documentos\GitHub\ArchiveProceser\FileFlow.App\ViewModels\ControlBarViewModel.cs","462","MessageBox","MessageBox.Show($""Error al guardar el flujo: {ex.Message}"", ""Error al Guardar"", MessageBoxButton.OK, MessageBoxImage.Error);","MessageBox.Show($""Error al guardar el flujo: {ex.Message}"", ""Error al Guardar"", MessageBoxButton.OK, MessageBoxImage.Error);"
"C# MessageBox Dialog","E:\Users\kaoti\Documentos\GitHub\ArchiveProceser\FileFlow.App\ViewModels\ControlBarViewModel.cs","483","MessageBox","MessageBox.Show($""Error al cargar el flujo: {ex.Message}"", ""Error al Cargar"", MessageBoxButton.OK, MessageBoxImage.Error);","MessageBox.Show($""Error al cargar el flujo: {ex.Message}"", ""Error al Cargar"", MessageBoxButton.OK, MessageBoxImage.Error);"
"C# MessageBox Dialog","E:\Users\kaoti\Documentos\GitHub\ArchiveProceser\FileFlow.App\ViewModels\ControlBarViewModel.cs","521","MessageBox","MessageBox.Show($""Error: {ex.Message}"", title, MessageBoxButton.OK, MessageBoxImage.Error);","MessageBox.Show($""Error: {ex.Message}"", title, MessageBoxButton.OK, MessageBoxImage.Error);"
"C# MessageBox Dialog","E:\Users\kaoti\Documentos\GitHub\ArchiveProceser\FileFlow.App\ViewModels\ControlBarViewModel.cs","538","MessageBox","MessageBox.Show(""No se encontrÃ³ la carpeta de ejemplos."", ""Ejemplos de Flujos"", MessageBoxButton.OK, MessageBoxImage.Warning);","MessageBox.Show(""No se encontrÃ³ la carpeta de ejemplos."", ""Ejemplos de Flujos"", MessageBoxButton.OK, MessageBoxImage.Warning);"
